Gene,Virulence_factor,Species
cap8O, Immune modulation ,VFC0258)] [Staphylococcus aureus subsp. aureus MW2]
cap8P, Immune modulation ,VFC0258)] [Staphylococcus aureus subsp. aureus MW2]
adsA, Immune modulation ,VFC0258)] [Staphylococcus aureus subsp. aureus MW2]
sbi, Immune modulation ,VFC0258)] [Staphylococcus aureus subsp. aureus MW2]
scn, Immune modulation ,VFC0258)] [Staphylococcus aureus subsp. aureus MW2]
chp, Immune modulation ,VFC0258)] [Staphylococcus aureus subsp. aureus str. Newman]
cba, Immune modulation ,VFC0258)] [Streptococcus agalactiae FM027022]
neuA, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06540, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
neuC, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
neuB, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06555, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06560, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06565, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06570, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06575, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06580, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06585, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06590, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06595, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06600, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06605, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
GBS_RS06610, Immune modulation ,VFC0258)] [Streptococcus agalactiae NEM316]
pspA, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
zmpC, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4A, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4B, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cpsC, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4D, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4E, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4F, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4G, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4H, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4I, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4J, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4K, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
cps4L, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
iga, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
wzy, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
SP_RS01735, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
SP_RS01740, Immune modulation ,VFC0258)] [Streptococcus pneumoniae TIGR4]
ideS/mac, Immune modulation ,VFC0258)] [Streptococcus pyogenes M1 GAS]
hasA, Immune modulation ,VFC0258)] [Streptococcus pyogenes M1 GAS]
hasB, Immune modulation ,VFC0258)] [Streptococcus pyogenes M1 GAS]
hasC, Immune modulation ,VFC0258)] [Streptococcus pyogenes M1 GAS]
emm, Immune modulation ,VFC0258)] [Streptococcus pyogenes M1 GAS]
sic, Immune modulation ,VFC0258)] [Streptococcus pyogenes M1 GAS]
YE_RS15405, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
galE, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
cpsG, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15420, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15425, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
gmd, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15435, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15440, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15445, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15450, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15455, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15460, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15465, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15470, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS15480, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
rfbG, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
rfbF, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
caf1, Immune modulation ,VFC0258)] [Yersinia pestis CO92]
caf1A, Immune modulation ,VFC0258)] [Yersinia pestis CO92]
caf1M, Immune modulation ,VFC0258)] [Yersinia pestis CO92]
caf1R, Immune modulation ,VFC0258)] [Yersinia pestis CO92]
csuA/B, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
csuB, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
csuC, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
csuD, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
csuE, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
bap, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
pgaB, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
pgaC, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
pgaD, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
adeF, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
adeG, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
adeH, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
abaI, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
abaR, Biofilm ,VFC0271)] [Acinetobacter baumannii ACICU]
pmlI/bspI1, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
pmlR/bspR1, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
bspI2, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
bspR2, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
bspI3, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
bspR3, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
bspR4, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
bspR5, Biofilm ,VFC0271)] [Burkholderia pseudomallei K96243]
fsrC, Biofilm ,VFC0271)] [Enterococcus faecalis V583]
fsrB, Biofilm ,VFC0271)] [Enterococcus faecalis V583]
fsrA, Biofilm ,VFC0271)] [Enterococcus faecalis V583]
bopD, Biofilm ,VFC0271)] [Enterococcus faecalis V583]
mrkF, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkD, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkC, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkB, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkA, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkH, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkI, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
mrkJ, Biofilm ,VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
algB, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algP/algR3, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algQ, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algR, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algZ, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algU, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algD, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
alg8, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
alg44, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algK, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algE, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algG, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algX, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algI, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algJ, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algF, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algA, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
mucA, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
mucB, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
mucC, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
lasR, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
rhlR, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
rhlI, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
lasI, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algC, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
mucD, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
algW, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
mucE, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
mucP, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
icaR, Biofilm ,VFC0271)] [Staphylococcus aureus subsp. aureus MW2]
cqsA, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
luxS, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsU, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsC, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsD, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsE, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsF, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsG, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsH, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsI, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsj, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
VC_RS04610, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
VC_RS04620, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsP, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
vpsQ, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
VC_RS09110, Biofilm ,VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961]
basJ, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basI, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basH, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
barB, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
barA, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basG, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basF, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
entE, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basD, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basC, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
bauA, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
bauB, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
bauE, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
bauC, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
bauD, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basB, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
basA, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
bauF, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04565, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04570, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04575, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04580, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04585, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04590, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04595, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
hemO, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04605, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
ACICU_RS04610, Nutritional/Metabolic factor ,VFC0272)] [Acinetobacter baumannii ACICU]
hal, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
asbA, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
asbB, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
asbC, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
asbD, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
asbE, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
asbF, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
dhbA, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
dhbC, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
dhbE, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
dhbB, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
dhbF, Nutritional/Metabolic factor ,VFC0272)] [Bacillus anthracis str. Sterne]
chuS, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuA, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuT, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuW, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuX, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuY, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuU, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fepA, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fepB, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fepC, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fepD, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fepE, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fepG, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entD, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entF, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entC, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entE, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entB, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entA, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iroN, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iutA, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iucD, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iucC, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iucB, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iucA, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iroE, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iroD, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iroC, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
iroB, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
fes, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
entS, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuV, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli CFT073]
chuS, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
chuA, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
chuT, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
chuW, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
chuX, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
chuY, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
chuU, Nutritional/Metabolic factor ,VFC0272)] [Escherichia coli O157:H7 str. EDL933]
FTT_RS09560, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fslE, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fslD, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fslC, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fslB, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fslA, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fupA, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
fmvB, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bplA, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bioD, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bioC, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bioF, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bioB, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bioA, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
bioJ, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
purM, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
purCD, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
ggt, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
ileP, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
ansP, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
gadC, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
argP, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
pyrB, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
carB, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
carA, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
tbpA, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
tbpB, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hitB, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hgpC, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hxuC, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hgpB, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hhuA, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae TN106]
iroE, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtS, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtX, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtQ, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtP, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
irp2, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
irp1, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtU, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtT, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ybtE, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fyuA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroN, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroB, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroC, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroD, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entB, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entE, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entC, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fepB, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entS, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fepD, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fepG, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fepC, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entF, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fes, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fepA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
entD, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroN, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroB, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroC, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iroD, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iucA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iucB, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iucC, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iucD, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iutA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
iutA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
allS, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
allA, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
allR, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
allB, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
allC, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
allD, Nutritional/Metabolic factor ,VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
ccmC, Nutritional/Metabolic factor ,VFC0272)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
iraB, Nutritional/Metabolic factor ,VFC0272)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
feoA, Nutritional/Metabolic factor ,VFC0272)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
